"name","start_year","end_year","genre_1","genre_2","genre_3","rating","director_1","director_2","star_1","star_2","star_3","star_4","votes","run_time","gross","type"
"solo",2018,NA,"Adventure","Biography","Drama",5,"Hugo Stuven",NA,"Alain Hernández","Aura Garrido"," Ben Temple","Leticia Etala",2546,91,NA,"tv"
"skylanders academy",2016,2018,"Animation","Action","Adventure",6.6,NA,NA,"Justin Long","Ashley Tisdale"," Jonathan Banks","Chris Diamantopoulos",636,25,NA,"tv"
"the chestnut man",2021,NA,"Crime","Drama","Mystery",NA,NA,NA,"Esben Dalgaard Andersen","Morten Brovn"," Danica Curcic","David Dencik",NA,50,NA,"tv"
"xoxo",2016,NA,"Drama","Music",NA,5.3,"Christopher Louie",NA,"Sarah Hyland","Graham Phillips"," Brett DelBuono","Hayley Kiyoko",6809,92,NA,"tv"
"high score",2020,NA,"Documentary","History",NA,7.4,NA,NA,"Charles Martinet","Rebecca Ann Heineman"," Nolan Bushnell","Tom Kalinske",6851,252,NA,"tv"
"fake or fortune?",2010,NA,"Documentary",NA,NA,8.6,NA,NA,"Fiona Bruce","Philip Mould"," Bendor Grosvenor","Aviva Bernstock",504,63,NA,"tv"
"zombieland saga",2018,NA,"Animation","Action","Comedy",7,NA,NA,"Rika Kinugawa","Kaede Hondo"," Asami Tano","Risa Taneda",893,24,NA,"tv"
"one strange rock",2018,NA,"Documentary",NA,NA,8.8,NA,NA,"Will Smith","Chris Hadfield"," Jerry Linenger","Mae C. Jemison",7223,47,NA,"tv"
"barry",2016,NA,"Biography","Drama",NA,5.8,"Vikram Gandhi",NA,"Devon Terrell","Anya Taylor-Joy"," Jason Mitchell","Ellar Coltrane",6821,104,NA,"tv"
"the trap",2019,NA,"Comedy",NA,NA,4.3,"Erik White",NA,"T.I.","Mike Epps"," Loretta Devine","Brian J. Pitt",1417,90,NA,"tv"
"we the people",2021,NA,"Animation","Short","Comedy",4.6,NA,NA,"Brandi Carlile","Cordae"," Andra Day","Amanda Gorman",202,3,NA,"short"
"killer ratings",2019,NA,"Documentary","Crime",NA,7.7,NA,NA,"",NA,NA,NA,1423,351,NA,"tv"
"huge in france",2019,NA,"Comedy",NA,NA,6.8,NA,NA,"Gad Elmaleh","Scott Keiji Takeda"," Jordan Ver Hoeve","Erinn Hayes",2594,30,NA,"tv"
"digimon adventure",2020,NA,"Animation","Action","Adventure",7.4,NA,NA,"Yumiko Kobayashi","Masako Nozawa"," Volcano Ota","Chika Sakamoto",415,NA,NA,"tv"
"pup academy",2019,NA,"Family",NA,NA,6.6,NA,NA,"Christian Convery","Chance Hurstfield"," Dylan Schombing","Travis Turner",424,NA,NA,"tv"
"guilt",2016,NA,"Crime","Drama","Mystery",6,NA,NA,"Daisy Head","Emily Tremaine"," Cristian Solimeno","Naomi Ryan",2540,60,NA,"tv"
"bling empire",2021,NA,"Reality-TV",NA,NA,5.8,NA,NA,"Christine Chiu","Kevin Kreider"," Kim Lee","Kelly Mi Li",2271,38,NA,"tv"
"sex, explained",2020,NA,"Documentary",NA,NA,6.9,NA,NA,"Janelle Monáe","Lisa Diamond"," Shareen Joshi","Justin Lehmiller",2758,111,NA,"tv"
"dark tourist",2018,NA,"Documentary",NA,NA,7.5,NA,NA,"David Farrier","Christian Wolf"," Robin Brown","Dan Bulter",6507,40,NA,"tv"
"seis manos",2019,NA,"Animation","Action","Adventure",7.2,NA,NA,"Vic Chao","Mike Colter"," Jonny Cruz","Aislinn Derbez",1295,27,NA,"tv"
"the pharmacist",2020,NA,"Documentary","Crime",NA,7.7,NA,NA,"",NA,NA,NA,6140,217,NA,"tv"
